missing_file	found_candidates_count	top_candidate_path	token	token_type
src/EliteClinic.Infrastructure/Migrations/20260404183649_Phase14_Phase2SelfServiceRequestFlow.cs	32	C:\Users\mohammed\AppData\Roaming\Code\User\History\593a6659\yjhw.md	20260404183649_Phase14_Phase2SelfServiceRequestFlow	literal
src/EliteClinic.Infrastructure/Migrations/20260404192914_Phase15_Phase3InventoryMarketplaceSales.cs	22	C:\Users\mohammed\AppData\Roaming\Code\User\History\593a6659\hGck.md	20260404192914_Phase15_Phase3InventoryMarketplaceSales	literal
src/EliteClinic.Infrastructure/Migrations/20260404192914_Phase15_Phase3InventoryMarketplaceSales.Designer.cs	21	C:\Users\mohammed\AppData\Roaming\Code\User\History\593a6659\hGck.md	20260404192914_Phase15_Phase3InventoryMarketplaceSales.Designer	literal
src/EliteClinic.Infrastructure/Migrations/20260404202657_Phase16_Phase4PartnersThreadsNotifications.cs	17	C:\Users\mohammed\AppData\Roaming\Code\User\History\593a6659\go9o.md	20260404202657_Phase16_Phase4PartnersThreadsNotifications	literal
src/EliteClinic.Infrastructure/Migrations/20260404202657_Phase16_Phase4PartnersThreadsNotifications.Designer.cs	17	C:\Users\mohammed\AppData\Roaming\Code\User\History\593a6659\go9o.md	20260404202657_Phase16_Phase4PartnersThreadsNotifications.Designer	literal
tests/EliteClinic.Tests/DbContextFactory.cs	22	C:\Users\mohammed\AppData\Roaming\Code\User\History\b7b3a3f\dFJt.cs	DbContextFactory	class_or_enum
tests/EliteClinic.Tests/EliteClinic.Tests.csproj	53	C:\Users\mohammed\AppData\Roaming\Code\User\History\593a6659\Sf3u.md	EliteClinic.Tests.csproj	literal
tests/EliteClinic.Tests/FakeMessageService.cs	20	C:\Users\mohammed\AppData\Roaming\Code\User\History\74f0c0a6\YlCx.cs	FakeMessageService	class_or_enum
tests/EliteClinic.Tests/Phase2SelfServiceWorkflowTests.cs	8	C:\Users\mohammed\AppData\Roaming\Code\User\History\15f0ce48\g4UE.cs	Phase2SelfServiceWorkflowTests	class_or_enum
tests/EliteClinic.Tests/Phase3InventoryMarketplaceTests.cs	6	C:\Users\mohammed\AppData\Roaming\Code\User\History\5d65de8a\DnKp.cs	Phase3InventoryMarketplaceTests	class_or_enum
tests/EliteClinic.Tests/Phase4PartnersThreadsNotificationsTests.cs	6	C:\Users\mohammed\AppData\Roaming\Code\User\History\-49e4c53a\8lWq.cs	Phase4PartnersThreadsNotificationsTests	class_or_enum
tests/EliteClinic.Tests/SystemWideApiContractTests.cs	6	C:\Users\mohammed\AppData\Roaming\Code\User\History\23ebe781\1N4F.cs	SystemWideApiContractTests	class_or_enum
